,Tweets
0,Pres. Trump paid just $750 in federal income taxes the year he ran for president and in his first year in the White… https://t.co/7hFQwSO7rw
1,The @FiveThirtyEight presidential election forecast has Joe Biden with a 77 in 100 chance of winning the Electoral… https://t.co/B4uDJhfi2g
2,"In times of crisis, many companies did not live up to their statements. https://t.co/CXulpDlZGU"
3,"CORONAVIRUS LATEST: https://t.co/r0sce0Ew6z

— ""We're not in a good place,"" Dr. Fauci warns.
— U.S. reports nearly… https://t.co/MOnnP8Uvhk"
4,How A Conservative 6-3 Majority Would Reshape The Supreme Court: https://t.co/fYEKJyp5NT via @FiveThirtyEight
5,Russian opposition leader Alexei Navalny confirms reports that German Chancellor Angela Merkel visited him in a Ber… https://t.co/nOI9Mxh2zP
6,STARTING NOW: @ABC News has the latest headlines from across the globe. Diane Macedo anchors: https://t.co/9oxQUiJSXS
7,Uber can keep operating in London after the ride-hailing company won a court appeal against the refusal by transit… https://t.co/UM6hikd4P6
8,Napa County Sheriff’s Office warns people not to wait 'until the last second to evacuate' the expanding Glass Fire.… https://t.co/ebeUvUxMEk
9,"There were 1,125 patients hospitalized due to COVID-19 across Missouri on Sunday, the highest number the U.S. state… https://t.co/eRl1yYNmTV"
10,Bars and restaurants in the French port city of Marseille and nearby Aix-en-Provence were forced to shut their door… https://t.co/eFluBVleBT
11,There are 22 large wildfires currently burning in California with dozens more burning from Texas to Washington. https://t.co/zdRHfcWtGV
12,"RT @GMA: “That is very concerning to me.”

Dr. Anthony Fauci says now the time is to double down, not ease restrictions, in regards to Flor…"
13,"RT @GMA: Over 2,500 acres are burned and mandatory evacuations are underway in raging California wildfires. @KaynaWhitworth reports.
https:…"
14,"Little Grey and Little White, two beluga whales rescued from captivity, take their first swim in their open water s… https://t.co/6XKATB6TzS"
15,Timelapse footage captures smoke billowing across the ranges from Zogg Fire in California. https://t.co/ljIGToFhGv https://t.co/cwWJLcoYLZ
16,"72-year-old man in England killed by herd of charging cows, making him the second such victim to die in this way in… https://t.co/fb4AfNlaBB"
17,"Shooting outside Detroit strip club leaves six people wounded, police say. https://t.co/Kf62f8dGPf"
18,"""I knew in my heart she was gone. I wasn't ready to accept it, I'm still not ... but you always hold onto that hope… https://t.co/bZjqAHPAqa"
19,"LATEST: There were 36,919 new cases of COVID-19 identified in the United States on Sunday, according to a real-time… https://t.co/uC0UovllSz"
20,"""Our people have fought for generations just to hang onto the land."" https://t.co/UYLZyEk87d"
21,Australian theme park owner fined $2.5 million for safety breaches that led to the deaths of four people on a river… https://t.co/5bOK1hv05O
22,State leaders accused the Postal Service of confusing voters. https://t.co/faWpt3hvId
23,"CORONAVIRUS LATEST: https://t.co/BRBiHoPfu8 

• India confirmed another 82,170 new cases of COVID-19 in the past 24… https://t.co/u6PaLKtrnS"
24,Experts insist there is evidence the virus was not man-made. https://t.co/2M2AmIwo9Z
25,"After her three-year-old died in a furniture tip-over accident, mom makes desperate plea to parents. https://t.co/BncIYpyFsb"
26,"Former Trump campaign manager Brad Parscale was hospitalized after allegedly threatening to harm himself, police sa… https://t.co/6VvYGbpXnD"
27,New polling reveals that those with the smallest financial buffer have sustained a heavy blow. https://t.co/OkQ8v6mGZ8
28,Pres. Trump paid just $750 in federal income taxes the year he ran for president and in his first year in the White… https://t.co/E3w63hUbCG
29,Public health experts have proposed a national COVID-19 strategy based on the Obama administration's HIV/AIDS strat… https://t.co/I1I0Ne5sAQ
30,The ballistics report from the Kentucky State Police could not determine that the boyfriend of Breonna Taylor shot… https://t.co/VPatcUZgF2
