,Tweets,len,ID,Date,Source,Likes,RTs,Place
0,Pres. Trump paid just $750 in federal income taxes the year he ran for president and in his first year in the White… https://t.co/7hFQwSO7rw,140,1310580641776513026,2020-09-28 14:02:29,SocialFlow,146,46,
1,The @FiveThirtyEight presidential election forecast has Joe Biden with a 77 in 100 chance of winning the Electoral… https://t.co/B4uDJhfi2g,139,1310575903802564614,2020-09-28 13:43:39,SocialFlow,219,53,
2,"In times of crisis, many companies did not live up to their statements. https://t.co/CXulpDlZGU",95,1310574518054813698,2020-09-28 13:38:09,SocialFlow,44,30,
3,"CORONAVIRUS LATEST: https://t.co/r0sce0Ew6z

— ""We're not in a good place,"" Dr. Fauci warns.
— U.S. reports nearly… https://t.co/MOnnP8Uvhk",139,1310569460210769925,2020-09-28 13:18:03,SocialFlow,107,62,
4,How A Conservative 6-3 Majority Would Reshape The Supreme Court: https://t.co/fYEKJyp5NT via @FiveThirtyEight,109,1310566449526775808,2020-09-28 13:06:05,SocialFlow,53,15,
5,Russian opposition leader Alexei Navalny confirms reports that German Chancellor Angela Merkel visited him in a Ber… https://t.co/nOI9Mxh2zP,140,1310564983596625920,2020-09-28 13:00:15,SocialFlow,137,34,
6,STARTING NOW: @ABC News has the latest headlines from across the globe. Diane Macedo anchors: https://t.co/9oxQUiJSXS,117,1310564851375157254,2020-09-28 12:59:44,Periscope,56,25,
7,Uber can keep operating in London after the ride-hailing company won a court appeal against the refusal by transit… https://t.co/UM6hikd4P6,139,1310561475845591041,2020-09-28 12:46:19,SocialFlow,24,11,
8,Napa County Sheriff’s Office warns people not to wait 'until the last second to evacuate' the expanding Glass Fire.… https://t.co/ebeUvUxMEk,140,1310557140734672898,2020-09-28 12:29:05,SocialFlow,263,176,
9,"There were 1,125 patients hospitalized due to COVID-19 across Missouri on Sunday, the highest number the U.S. state… https://t.co/eRl1yYNmTV",140,1310553367492661251,2020-09-28 12:14:06,SocialFlow,109,52,
10,Bars and restaurants in the French port city of Marseille and nearby Aix-en-Provence were forced to shut their door… https://t.co/eFluBVleBT,140,1310552600429957120,2020-09-28 12:11:03,SocialFlow,72,32,
11,There are 22 large wildfires currently burning in California with dozens more burning from Texas to Washington. https://t.co/zdRHfcWtGV,135,1310549481071484930,2020-09-28 11:58:39,SocialFlow,105,72,
12,"RT @GMA: “That is very concerning to me.”

Dr. Anthony Fauci says now the time is to double down, not ease restrictions, in regards to Flor…",140,1310547560990494726,2020-09-28 11:51:01,TweetDeck,0,237,
13,"RT @GMA: Over 2,500 acres are burned and mandatory evacuations are underway in raging California wildfires. @KaynaWhitworth reports.
https:…",140,1310545640003436544,2020-09-28 11:43:23,TweetDeck,0,44,
14,"Little Grey and Little White, two beluga whales rescued from captivity, take their first swim in their open water s… https://t.co/6XKATB6TzS",140,1310544965903306755,2020-09-28 11:40:43,SocialFlow,636,133,
15,Timelapse footage captures smoke billowing across the ranges from Zogg Fire in California. https://t.co/ljIGToFhGv https://t.co/cwWJLcoYLZ,138,1310540884182732801,2020-09-28 11:24:30,SocialFlow,74,47,
