,Review
0,Great place to take in a hockey game or catch a bite to eat. Hotel is decent and plenty to do in area. Convenient location to Canalside and other attractions. Good for year around fun for families.  Easy to park
1,This is an awesome hotel - very modern. This was my second time staying here. I love the rooms (especially the upgraded room I got) - and the location. Parking very reasonable. The breakfast was pretty good too.
2,We stay here every Thanksgiving week and are always very pleased. The staff from valet service to the M Lounge to housekeeping are unfailingly friendly and helpful.  Interestingly we note there is very little staff turnover.  We see the same people year after year. The hotel…
3,"For the second year in a row, the staff at the Marriott Haborplace did a wonderful job: from check-in to directions, concierge support, answering my many questions and ending with check-out help. As an example Pearl, in the concierge area,  was very prompt in keeping the lounge…"
4,I love this hotel. Super friendly staff. Made me feel special as Marriott Platinum member. M club lounge had a great breakfast. I was upgraded to a suite and it was awesome. Wish I had more time to stay here. Will definitely be back.  You can’t beat the location.   
5,"This hotel is located next to the Hockey Arena and just about a block from the baseball park  The public tram that takes you for free through Main Street downtown is just steps away and is convient for commuting within downtown.  The hotel is modern, clean, and the restaurant…"
6,We have stayed at the Harborcenter several times and are never disappointed. The service is top shelf from the valets to the reception to the cleaning service and bar staff. Rooms are always clean and impeccable. Bar is convenient with a good selection.   A great choice. Tram is…
7,"We had stayed in a roadside Hampton Inn the night before and had commented on the lack of friendliness there.  Walking into the Marriott HARBORCENTER, we were greeted warmly and efficiently and were reminded immediately that this hotel was on an entirely different level…"
8,"Stayed here for an event next door at the Keybank Center. Lovely hotel, top notch service, beautiful rooms and views. Only thing I was not a fan of was the the price gauge for that night (for the event). My friends booked the same room 5 days before I booked mine, but they paid…"
9,"My wife and I decided on taking a road trip from NYC to Buffalo!  We took advantage of our Starwood membership and booked the Buffalo Marriott Harborcenter hotel and had the absolute best time here!  Loved our room, the service and especially the staff.  I have to give a shout…"
10,"When I think of hotels, the first things that come to mind are usually location, price, amenities, that kind of thing. From now on, when I think of the Buffalo Marriott HARBORCENTER the first thing that is going to pop into my head is the outstanding customer service. As an…"
11,The place is fabulous -  real cut above. Best service we have ever received - until departure using valet parking. 15 minutes of waiting when you already called down ahead of time is just too long.Dont know what the glitch was. Valet apologized for the delay.
12,"Nice hotel, great location, great room.   But the staff!  Everyone was professional,  helpful and knowledgeable.   Gracie in the restaurant was particularly good, what a sweetheart. She made us feel welcome both mornings."
13,"I am a frequent Marriott guest but this property is one of my all time favorites. It's location, updated amenities and super clean rooms are top notch but what sets it apart from others is how every member of the staff go out of their way to make you feel welcome and at home and…"
14,"One is really pressed to write anything negative about this hotel. Everything is excellent about this hotel. Rooms, service, parking, food is all way up there on the excellent scale. The one thing I didn't like was it's downtown location, which means one has to go through a…"
15,"This hotel has it all.  Beautiful rooms, comfortable beds, great views, great service!  We have stayed here multiple times.  We once had an issue with a noisy neighbor, but the hotel dealt with it.   The food and drinks are great and we love to walk over to see the Sabres play…"
16,"We had a harbor view room on the 18th floor and it was great. Staff in this hotel are polite and very helpful. Bathrooms have pocket doors (super). In and out parking is a perk with a fee, but I prefer that over valet parking. Dining area is well managed."
17,Second year in a row here with daughters on a shopping trip. Last year I gave a positive review but this year .... even better. I have never had staff so concerned with customers at a hotel! The minute you walk in the lobby they are asking what you need. Even though there was no…
